Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y
LP001014,Female,No,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y
LP001020,Male,Yes,0,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y
LP001027,Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N
LP001030,Female,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,0.0,Urban,N
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N
LP001038,Male,No,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N
LP001041,Male,Yes,0,Graduate,No,2600,3250.0,115.0,360.0,1.0,Urban,Y
LP001043,Male,Yes,0,Graduate,No,4158,0.0,168.0,360.0,1.0,Semiurban,Y
LP001046,Male,Yes,1,Graduate,No,2400,2917.0,128.0,360.0,1.0,Rural,N
LP001047,Male,Yes,0,Graduate,No,5000,1800.0,208.0,360.0,1.0,Rural,N
LP001050,Female,No,0,Not Graduate,No,2900,0.0,71.0,360.0,1.0,Rural,Y
LP001051,Male,No,0,Graduate,No,4106,0.0,113.0,360.0,1.0,Urban,Y
LP001054,Male,Yes,0,Not Graduate,No,5000,0.0,60.0,360.0,1.0,Urban,Y
LP001055,Male,Yes,1,Graduate,No,3000,0.0,100.0,180.0,1.0,Urban,Y
LP001056,Male,Yes,0,Graduate,No,2400,0.0,100.0,360.0,1.0,Semiurban,Y
LP001059,Male,No,0,Graduate,No,3659,4346.0,200.0,360.0,1.0,Urban,Y
